design,Barely Pass_TCP,Barely Pass_WS,Barely Pass_SCPR,Barely Fail_TCP,Barely Fail_WS,Barely Fail_SCPR
ac97_ctrl,0.6,0.0078,1.303%,0.5,-0.0425,-8.504%
aes_core,1.5,0.1158,7.720%,1.25,-0.0412,-3.296%
des3_area,2.5,0.0006,0.024%,2.25,-0.0411,-1.828%
ethernet,1.65,0.0204,1.238%,1.5,-0.022,-1.466%
i2c,0.65,0.0103,1.580%,0.55,-0.0154,-2.793%
jpeg,1.8,0.0483,2.683%,1.6,-0.0117,-0.731%
mem_ctrl,1.75,0.0202,1.153%,1.25,-0.0558,-4.464%
pci,1.0,0.0398,3.981%,0.75,-0.0328,-4.368%
sasc,0.6,0.0252,4.193%,0.5,-0.0392,-7.840%
simple_spi,0.55,0.0258,4.689%,0.45,-0.0421,-9.353%
spi,1.5,0.0594,3.963%,1.25,-0.0142,-1.138%
ss_pcm,0.38,0.0111,2.918%,0.325,-0.0133,-4.083%
systemcaes,1.75,0.0809,4.621%,1.5,-0.0064,-0.429%
systemcdes,1.45,0.1219,8.407%,1.25,-0.0143,-1.146%
tv80,2.25,0.094,4.177%,1.9,-0.0028,-0.147%
usb_funct,1.0,0.0035,0.348%,0.8,-0.0068,-0.852%
usb_phy,0.45,0.0068,1.510%,0.35,-0.0193,-5.517%
wb_dma,1.25,0.023,1.837%,0.9,-0.0683,-7.590%
